Topic,Implementation Claim,Reviewer Claim,Adjudicator Assessment,Evidence,Decision
Branch A vs Branch B overall,"Branch A (Docusaurus+TypeDoc) is a comprehensive docs system","Branch A should not be merged; Branch B is the correct approach","Reviewer is correct. Branch A solves the wrong problem — TypeDoc doesn't extract server.tool() calls. Branch B reads actual sources of truth.","Branch A: 0 MCP tools extracted, 0 REST endpoints documented. Branch B: 152/152 MCP tools, OpenAPI spec byte-identical copy.","Agree with reviewer: Branch A rejected, Branch B is the candidate"
MCP tool extraction quality,"Branch B extracts 152 tools with params (implied: complete)","152/152 count is correct but regex is fragile; will silently degrade","Both partially right. 152/152 count is verified. But reviewer correctly identifies fragility — coupled to code formatting, double quotes, 50-line scan window.","Independently verified: 152 tools extracted. Regex is indeed format-dependent. No smoke test exists.","Accept Branch B extraction as working-today. Defer smoke test to follow-up. Risk is moderate, not blocking."
Custom markdown parser,"(Implied: sufficient for guide conversion)","Moderate risk — missing nested lists, blockquotes, images","Reviewer is correct and understated. Independently verified: 70 blockquotes silently dropped across guides. 37 nested list items will be flattened. Guide pages will have visible quality gaps.","grep -cP '^>\s' across all 6 guides = 70 blockquotes. grep -cP '^\s{2,}[-*]\s' = 37 nested list items.","This is a real issue. However, it's acceptable for MVP if documented. The guide pages are supplementary — the primary value is MCP + REST API docs."
Hardcoded base path,"(Not addressed)","26 occurrences of /market-data-bridge/ hardcoded; should be a const","Reviewer is correct. 26 occurrences verified. Easy to extract to a const.","grep -c '/market-data-bridge/' = 26","Required fix before merge. Trivial effort."
Hardcoded 135 action count,"(Not addressed)","Landing page card says '135' statically; should read from OpenAPI","Reviewer is correct but this is low severity. The number is on a landing page card, not in the API reference.","Line 565 of script: hardcoded '135 agent actions'","Nice-to-have fix, not blocking. The MCP tool count IS dynamic."
CI workflow missing setup-node,"(Not addressed in Branch B)","Missing setup-node is a reliability risk","Reviewer is correct in principle but overstates severity. ubuntu-latest ships Node 22. The script uses only Node built-ins.","Node 22 is current on ubuntu-latest. Script has zero npm deps.","Nice-to-have fix. Not blocking for merge."
CI workflow missing configure-pages,"(Not addressed)","Required for first-time GitHub Pages deployment","Reviewer is correct. This is needed for Pages to work on first run.","No existing Pages workflows in this repo.","Required fix before merge."
Output cleanup (stale files),"(Not addressed)","No rmSync before generation; stale files persist","Reviewer is correct. If a guide page is removed, old HTML stays.","Script uses ensureDir() but never cleans output directory.","Required fix before merge. One-line addition."
DOCS_AUTOMATION_PLAN.md,"Included as docs/DOCS_AUTOMATION_PLAN.md","Planning doc adds noise to docs/; move or delete","Reviewer is mostly right. The doc has ADR value but docs/ is the wrong location. However: the smaller landing set approach says defer or remove.","156 lines of planning rationale","Remove from landing set. Not needed for the docs system to function."
Guide pages value,"6 guides converted to HTML (implied: high value)","Guide pages use a custom parser with known gaps (blockquotes, nested lists)","Guide pages are the weakest part of the MVP. 70 blockquotes dropped, 37 nested items flattened. The MCP + REST API docs are the actual value. Guides add maintenance cost for imperfect output.","Verified rendering gaps independently.","DEFER guide pages. They add bulk and parser complexity for imperfect output. The 160-line markdown parser exists solely for these. Ship MCP + REST API + architecture first."
Redoc CDN dependency,"(Not addressed)","CDN dependency is a risk; Redoc at runtime from cdn.redoc.ly","Risk is real but standard practice. Pinning to a version URL is a good follow-up.","Redoc CDN has been stable for years. Unpinned 'latest' is the only concern.","Accept for MVP. Follow-up to pin version."
Branch A Mermaid diagrams,"4 well-written Mermaid diagrams in diagrams/ directory","Well-written but duplicate architecture-diagram.html and will go stale","Reviewer is right about duplication. However, .mmd source files could have standalone value separate from any docs site. Not part of the landing set decision — they're on Branch A.","Diagrams describe real architecture accurately but are hand-maintained and parallel to existing assets.","Do not merge as part of docs automation. Could be a separate, independent PR if wanted."
